"","week","analytics","api","artificial intelligence","big data","clustering","data mining","data science","data scientist","data warehouse","deep learning","etl","excel","github","hadoop","iot","java","machine learning","matlab","minitab","modeling","python","R","regression","sql","statistician"
"1","2014-12-21",63,50,23,53,54,68,11,17,52,15,50,55,22,70,14,80,14,45,40,74,29,73,30,62,42
"2","2014-12-28",59,52,22,54,46,60,13,17,46,14,45,52,24,61,11,77,13,40,37,77,28,59,37,53,56
"3","2015-01-04",90,55,28,76,71,88,18,24,76,17,78,89,29,87,27,85,18,62,64,96,35,59,44,87,62
"4","2015-01-11",94,57,33,76,73,88,20,25,85,18,84,95,30,85,26,86,21,71,67,98,37,60,47,94,70
"5","2015-01-18",93,58,33,78,72,91,19,22,78,18,83,96,31,90,27,92,19,77,80,100,38,61,47,96,64
"6","2015-01-25",93,58,31,79,77,82,20,32,81,16,79,97,30,91,26,92,20,80,81,98,38,62,51,94,71
"7","2015-02-01",97,62,33,81,76,93,18,26,84,16,88,98,31,95,29,93,20,83,87,98,40,62,52,98,75
"8","2015-02-08",99,62,32,83,78,96,18,24,91,16,88,98,32,92,26,91,21,85,81,95,40,63,59,98,64
"9","2015-02-15",95,62,34,82,75,87,18,26,87,18,81,93,31,92,24,91,20,82,90,99,39,63,53,95,63
"10","2015-02-22",97,62,34,87,78,100,19,27,85,21,85,97,30,97,27,89,20,88,95,97,40,62,56,97,70
"11","2015-03-01",99,63,35,84,77,91,19,28,81,18,87,98,33,88,26,90,21,91,93,98,41,63,58,97,65
"12","2015-03-08",96,64,35,89,78,94,19,27,87,19,83,98,34,94,29,91,21,92,87,100,41,61,57,99,68
"13","2015-03-15",96,63,30,86,76,88,18,28,86,21,83,98,34,100,29,89,19,89,92,96,40,61,56,99,63
"14","2015-03-22",100,65,34,90,79,93,18,30,88,20,80,100,37,94,31,91,20,91,92,95,41,61,59,99,70
"15","2015-03-29",94,66,31,84,75,90,19,26,82,18,81,91,37,94,30,85,21,86,82,93,40,62,56,91,62
"16","2015-04-05",93,64,31,82,85,90,19,26,92,20,83,94,33,94,32,87,22,87,90,96,39,62,58,94,69
"17","2015-04-12",95,76,32,86,83,97,21,31,91,18,87,98,34,100,34,95,24,94,96,96,41,63,68,99,67
"18","2015-04-19",95,68,32,84,85,98,19,31,91,18,88,98,33,97,31,100,23,96,99,95,41,60,65,100,74
"19","2015-04-26",94,64,36,81,83,91,20,27,90,15,79,89,31,90,33,90,22,90,99,94,40,60,66,91,85
"20","2015-05-03",96,64,38,83,82,95,21,28,86,20,83,90,34,93,35,87,22,87,94,93,40,59,62,94,76
"21","2015-05-10",91,66,37,78,79,84,22,28,95,19,81,92,32,91,38,86,21,82,88,94,39,57,58,96,65
"22","2015-05-17",94,64,36,85,76,87,21,27,86,21,85,92,32,88,38,86,21,81,86,92,40,59,53,99,78
"23","2015-05-24",91,62,34,77,74,77,19,25,83,21,82,89,32,85,39,85,20,76,78,92,37,60,50,93,65
"24","2015-05-31",96,64,33,81,70,71,22,30,76,20,87,93,35,94,40,86,22,76,81,92,41,60,52,96,79
"25","2015-06-07",93,63,28,79,76,74,20,31,83,18,91,94,32,98,42,84,22,74,78,91,40,60,58,97,62
"26","2015-06-14",94,62,32,79,69,75,21,29,82,21,85,91,33,96,37,83,20,68,77,90,41,59,49,96,64
"27","2015-06-21",95,64,30,79,73,80,19,29,87,21,87,92,34,93,39,83,22,67,71,90,42,61,48,98,59
"28","2015-06-28",90,62,34,73,67,75,20,26,77,20,84,87,33,87,37,81,22,61,62,85,39,60,43,92,62
"29","2015-07-05",91,63,32,74,68,77,20,29,76,21,84,89,34,92,37,81,22,61,67,90,40,60,44,95,59
"30","2015-07-12",90,63,32,72,64,69,19,25,69,21,86,86,33,96,36,86,23,59,65,89,41,61,45,93,68
"31","2015-07-19",90,65,34,76,70,72,21,29,76,21,87,87,34,96,38,83,22,60,64,90,39,60,45,93,56
"32","2015-07-26",86,63,39,75,63,76,20,35,76,23,81,87,33,94,43,81,21,58,66,88,38,61,44,92,72
"33","2015-08-02",87,61,32,71,59,75,22,29,83,21,82,88,34,88,40,80,22,57,64,92,39,61,44,90,63
"34","2015-08-09",85,61,35,74,68,76,23,31,85,19,82,85,33,92,41,79,21,56,64,90,38,59,44,88,60
"35","2015-08-16",85,62,31,76,64,76,23,34,78,20,84,87,35,91,41,80,22,58,63,89,38,59,46,93,61
"36","2015-08-23",84,58,28,75,59,77,26,32,73,20,83,90,34,93,43,80,23,62,71,89,40,60,47,91,54
"37","2015-08-30",88,62,31,80,63,84,25,33,85,22,85,90,34,91,45,82,23,67,81,94,42,61,50,92,69
"38","2015-09-06",87,65,33,83,68,86,27,33,82,22,86,92,35,96,45,82,24,72,84,89,42,61,51,89,55
"39","2015-09-13",86,68,39,83,70,83,27,34,81,22,83,93,36,89,47,83,25,78,92,93,43,61,58,91,87
"40","2015-09-20",87,64,34,83,72,80,26,33,85,23,78,90,36,94,43,83,24,78,93,90,43,60,59,92,71
"41","2015-09-27",86,67,35,85,73,88,26,37,92,22,81,95,36,94,49,81,24,82,84,90,43,61,71,91,81
"42","2015-10-04",89,66,34,86,76,87,27,37,84,27,85,97,37,95,50,82,27,88,89,93,44,61,81,96,79
"43","2015-10-11",88,61,35,90,78,90,26,33,84,23,89,95,38,91,50,82,27,91,80,93,46,61,78,95,72
"44","2015-10-18",87,70,33,82,68,81,26,53,80,22,78,96,38,87,49,84,26,92,87,93,44,63,69,91,75
"45","2015-10-25",85,62,36,87,82,84,23,36,83,24,88,95,38,93,51,83,27,91,82,91,45,63,71,94,97
"46","2015-11-01",88,61,36,87,79,89,26,35,83,25,87,95,39,93,50,80,28,95,88,92,44,66,73,96,78
"47","2015-11-08",81,58,39,78,71,78,23,30,84,31,76,92,36,80,49,77,31,88,88,92,44,69,66,87,66
"48","2015-11-15",87,60,38,83,79,89,24,31,86,25,80,95,38,88,51,82,28,92,92,93,46,71,68,92,63
"49","2015-11-22",80,58,34,83,79,86,21,29,82,24,78,88,35,79,47,77,26,86,91,83,43,82,63,86,52
"50","2015-11-29",87,61,39,82,84,89,23,33,80,26,85,96,37,85,51,77,28,94,100,92,45,81,80,91,65
"51","2015-12-06",82,60,39,83,79,90,27,32,80,25,82,91,36,85,50,77,26,86,92,92,45,79,84,92,61
"52","2015-12-13",80,60,37,76,78,84,26,31,80,32,76,87,36,87,50,75,29,74,71,88,44,80,68,91,63
"53","2015-12-20",60,55,29,60,52,59,19,24,51,23,57,61,29,68,43,64,24,50,41,73,36,79,40,65,47
"54","2015-12-27",52,56,27,55,44,57,20,27,50,20,48,54,25,56,34,58,21,41,36,77,33,62,40,53,55
"55","2016-01-03",75,59,48,73,68,74,25,30,71,26,72,86,34,76,56,64,26,63,48,94,44,58,51,79,62
"56","2016-01-10",78,57,38,75,70,72,25,33,69,26,77,88,36,74,51,66,26,71,55,92,46,57,52,85,78
"57","2016-01-17",79,59,37,81,70,83,30,58,64,35,80,90,37,80,56,71,28,80,64,98,49,59,57,88,65
"58","2016-01-24",80,61,39,83,65,81,30,42,67,42,80,92,43,83,58,72,30,82,72,95,50,62,100,88,72
"59","2016-01-31",85,65,36,86,73,82,30,38,75,34,83,96,39,86,60,72,30,88,72,99,52,62,85,93,75
"60","2016-02-07",80,66,34,83,74,82,27,36,74,27,79,90,38,82,54,73,29,86,73,95,50,62,80,87,74
"61","2016-02-14",80,62,34,90,72,79,27,35,79,27,83,93,40,87,57,73,29,89,74,92,49,64,72,90,99
"62","2016-02-21",81,64,38,92,80,83,28,43,75,33,80,96,41,90,62,72,30,94,78,97,52,62,72,92,90
"63","2016-02-28",84,61,37,91,79,85,26,37,75,34,80,95,42,87,66,73,28,95,81,96,53,61,75,92,91
"64","2016-03-06",83,63,42,90,82,88,26,40,79,45,84,94,40,85,62,74,32,94,79,95,52,61,73,94,100
"65","2016-03-13",80,63,43,83,81,82,26,35,76,46,84,92,42,92,63,72,33,91,87,89,50,61,67,91,80
"66","2016-03-20",73,61,42,76,76,74,24,37,70,38,74,81,40,77,59,68,31,86,69,93,50,60,64,79,64
"67","2016-03-27",73,68,42,79,80,81,26,36,76,36,82,87,40,86,60,71,32,89,78,93,49,59,66,86,62
"68","2016-04-03",78,69,41,85,89,86,28,39,85,43,80,96,43,83,63,72,34,95,79,98,51,62,70,89,60
"69","2016-04-10",77,67,38,84,90,83,26,36,84,38,80,92,41,85,64,72,30,96,88,90,53,61,71,91,79
"70","2016-04-17",76,66,39,86,82,82,26,39,73,37,77,91,42,84,65,72,32,98,86,92,52,61,75,91,75
"71","2016-04-24",73,67,40,82,89,84,26,37,81,38,81,90,40,84,62,71,31,95,83,91,51,60,75,90,70
"72","2016-05-01",75,64,38,82,85,80,26,38,80,36,75,83,39,76,55,67,32,87,80,87,48,59,73,83,65
"73","2016-05-08",79,67,38,86,76,82,30,77,89,39,85,91,42,85,73,70,32,89,80,87,51,61,72,93,82
"74","2016-05-15",74,73,39,82,75,74,29,45,82,39,81,89,41,79,69,69,33,83,76,88,49,59,66,92,70
"75","2016-05-22",76,65,39,86,75,77,29,38,73,37,79,89,41,86,68,69,34,81,72,86,53,60,64,90,68
"76","2016-05-29",74,64,37,84,73,75,26,36,73,39,76,89,41,80,65,68,32,78,70,85,51,61,59,88,67
"77","2016-06-05",78,65,34,81,73,72,28,40,72,42,85,90,41,80,70,67,34,76,68,83,51,60,57,92,69
"78","2016-06-12",74,65,35,78,73,67,29,40,70,40,79,87,39,78,63,66,32,70,65,81,50,59,53,89,63
"79","2016-06-19",74,66,34,77,72,62,28,43,65,41,81,86,40,79,65,67,34,68,63,83,51,59,52,89,62
"80","2016-06-26",75,66,33,81,61,62,26,38,70,42,80,85,40,83,62,65,33,65,65,82,49,60,49,87,59
"81","2016-07-03",69,64,32,75,59,57,26,41,63,37,71,80,39,73,62,62,31,59,53,77,47,58,45,79,58
"82","2016-07-10",68,68,32,75,59,65,28,37,66,36,80,81,40,76,62,62,30,58,58,80,47,58,46,83,59
"83","2016-07-17",69,68,30,76,61,64,29,43,68,40,74,83,41,77,70,65,32,60,52,86,50,60,46,86,68
"84","2016-07-24",68,67,30,77,65,63,27,39,66,38,77,81,40,79,64,63,30,58,55,83,48,59,45,83,59
"85","2016-07-31",69,67,29,72,60,61,29,36,61,40,77,84,43,75,65,63,32,57,54,83,48,58,46,85,55
"86","2016-08-07",65,65,30,70,59,64,28,40,69,37,75,82,41,72,58,61,31,55,53,79,46,56,43,82,70
"87","2016-08-14",62,60,30,62,54,58,27,38,63,29,70,77,35,67,56,59,28,52,57,77,41,56,41,77,59
"88","2016-08-21",68,66,31,77,64,67,33,43,74,39,83,85,40,75,70,63,36,60,67,83,48,58,46,86,60
"89","2016-08-28",68,66,34,81,62,67,34,45,74,38,77,84,41,74,65,62,32,64,63,84,50,58,45,83,72
"90","2016-09-04",70,65,35,81,64,68,35,47,60,42,73,85,41,73,70,62,36,69,74,85,50,60,47,81,60
"91","2016-09-11",70,65,36,86,66,70,39,48,71,42,76,86,42,74,69,63,37,72,79,86,52,59,51,83,92
"92","2016-09-18",71,68,40,90,71,78,38,45,80,42,83,89,45,82,75,67,40,79,76,90,55,58,57,87,72
"93","2016-09-25",71,69,41,85,66,78,35,44,71,42,83,90,44,82,77,67,41,83,82,85,56,61,61,88,80
"94","2016-10-02",71,64,42,83,71,71,33,43,73,47,76,90,43,73,77,66,41,86,74,84,54,60,62,86,73
"95","2016-10-09",72,64,50,82,71,73,33,46,78,51,75,90,45,73,73,65,40,88,79,87,56,60,64,85,74
"96","2016-10-16",73,67,45,87,80,93,35,45,83,48,83,93,49,76,84,69,42,94,82,89,56,61,62,89,69
"97","2016-10-23",74,66,44,87,77,78,35,42,76,47,80,93,46,74,88,66,43,94,80,88,57,63,64,89,57
"98","2016-10-30",75,65,45,83,82,78,35,43,68,49,72,88,45,71,79,64,44,91,72,90,59,64,64,84,72
"99","2016-11-06",74,65,44,86,79,80,36,38,82,43,75,89,45,76,80,66,42,93,82,90,57,67,65,87,74
"100","2016-11-13",78,68,49,93,91,88,36,46,86,56,84,93,48,80,87,68,46,98,86,93,62,72,70,93,79
"101","2016-11-20",75,64,47,85,82,84,32,38,75,55,71,86,44,72,75,63,44,91,72,80,55,83,61,86,60
"102","2016-11-27",80,69,52,91,90,89,37,43,78,57,78,91,49,75,79,66,47,100,97,92,60,79,74,89,78
"103","2016-12-04",78,72,52,89,87,85,37,46,79,63,84,87,47,78,77,64,48,95,84,93,59,79,78,88,60
"104","2016-12-11",75,68,49,82,85,76,35,46,78,57,79,84,47,73,73,62,46,80,69,86,57,76,71,85,75
"105","2016-12-18",67,69,45,72,68,71,32,42,64,57,70,74,43,65,71,58,43,66,49,76,51,79,48,79,47
"106","2016-12-25",48,64,40,57,49,55,25,34,47,47,49,57,35,56,55,49,34,45,31,72,42,61,35,57,45
"107","2017-01-01",67,65,47,70,62,66,37,47,58,55,74,79,42,65,73,56,44,57,46,84,51,58,47,71,60
"108","2017-01-08",76,68,48,85,70,73,43,47,69,63,84,92,50,73,86,59,49,71,58,89,58,58,52,87,82
"109","2017-01-15",76,70,47,85,72,78,44,51,79,62,85,95,48,73,82,62,49,77,59,93,59,59,55,87,78
"110","2017-01-22",76,72,47,85,75,74,44,58,72,62,81,93,48,74,79,63,50,81,75,93,60,60,57,87,66
"111","2017-01-29",79,71,48,90,78,79,43,58,80,61,83,94,50,80,79,65,51,83,70,92,61,62,59,89,65
"112","2017-02-05",80,72,48,93,80,77,41,60,82,63,88,97,54,81,82,66,53,86,75,87,64,62,63,94,81
"113","2017-02-12",79,71,48,91,81,80,40,51,80,66,85,97,53,80,86,65,55,90,75,89,64,61,64,91,87
"114","2017-02-19",80,71,52,90,82,78,44,50,75,67,87,97,54,77,86,68,53,94,78,90,65,63,64,91,68
"115","2017-02-26",86,72,52,97,93,89,45,54,84,65,84,97,56,85,87,67,56,97,81,92,67,63,71,93,69
"116","2017-03-05",83,73,54,98,83,85,45,54,80,67,85,100,55,83,88,67,56,96,85,91,66,63,67,92,72
"117","2017-03-12",81,73,53,92,85,83,42,50,82,72,87,96,54,78,87,68,56,95,75,83,68,60,65,93,67
"118","2017-03-19",82,82,49,91,90,82,44,55,87,72,88,96,56,84,85,67,56,99,78,88,68,61,70,94,69
"119","2017-03-26",82,78,56,96,88,87,46,51,83,73,87,97,56,81,86,68,59,99,82,89,77,62,70,92,63
"120","2017-04-02",85,78,53,92,97,89,43,55,89,70,89,99,56,83,85,67,57,99,82,88,67,63,68,92,66
"121","2017-04-09",77,74,53,90,92,85,40,51,73,71,80,87,54,78,87,62,58,93,72,85,65,64,69,85,69
"122","2017-04-16",76,72,54,92,89,83,44,49,80,69,83,90,54,77,86,65,58,92,79,88,65,61,73,87,74
"123","2017-04-23",80,73,58,92,97,87,46,54,84,75,90,93,54,75,86,66,59,96,90,87,67,61,80,91,91
"124","2017-04-30",79,68,56,86,89,82,44,51,79,63,78,86,51,71,74,59,58,89,86,87,61,60,77,81,70
"125","2017-05-07",80,73,54,91,93,79,47,54,80,77,85,93,52,78,93,63,60,86,77,84,65,60,71,90,73
"126","2017-05-14",74,72,59,88,80,76,41,51,82,68,92,89,51,76,87,60,61,80,70,79,62,59,62,89,81
"127","2017-05-21",71,70,58,84,78,72,45,52,78,72,77,85,50,70,85,60,63,74,74,79,62,59,58,88,64
"128","2017-05-28",71,68,50,80,74,65,44,55,68,70,76,86,49,67,80,57,59,72,63,76,60,61,54,83,60
"129","2017-06-04",72,70,45,81,71,63,43,52,71,71,84,86,49,71,82,56,64,70,65,78,61,58,54,85,69
